antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'20726'}),frozenset({'20725'}),0.04831257533145842,0.07603455202892728,0.02571313780634793,0.5322245322245321,6.999772051291204,1.0,0.022039712783656684,1.9752328021070484,0.9006509729551451,0.2606924643584521,0.4937305623249747,0.43520077337778784
frozenset({'20725'}),frozenset({'20726'}),0.07603455202892728,0.04831257533145842,0.02571313780634793,0.3381770145310436,6.999772051291205,1.0,0.022039712783656684,1.437978803341489,0.9276734393684095,0.2606924643584521,0.30457945716845064,0.43520077337778784
frozenset({'20727'}),frozenset({'20725'}),0.05805544395339494,0.07603455202892728,0.029128163921253516,0.5017301038062284,6.5987119068623645,1.0,0.024713944247416637,1.854347322664167,0.9007486340003383,0.27751196172248804,0.46072670002117727,0.4424106265398381
frozenset({'20725'}),frozenset({'20727'}),0.07603455202892728,0.05805544395339494,0.029128163921253516,0.38309114927344784,6.5987119068623645,1.0,0.024713944247416637,1.5268780062682659,0.9182759745249671,0.27751196172248804,0.3450688294056778,0.4424106265398381
frozenset({'20728'}),frozenset({'20725'}),0.05614704700683005,0.07603455202892728,0.02782241864202491,0.49552772808586765,6.5171387857634056,1.0,0.023553303075113465,1.8315485298433676,0.8969177120434396,0.2666025024061598,0.4540139211678333,0.43072291292008047
frozenset({'20725'}),frozenset({'20728'}),0.07603455202892728,0.05614704700683005,0.02782241864202491,0.36591809775429324,6.5171387857634056,1.0,0.023553303075113465,1.4885347612829785,0.9162230394686599,0.2666025024061598,0.3281984230330684,0.43072291292008047
frozenset({'22382'}),frozenset({'20725'}),0.0532342306147047,0.07603455202892728,0.026516673362796304,0.49811320754716987,6.551142793051021,1.0,0.022469032485402628,1.8409837873107844,0.8949994856264748,0.2580645161290323,0.4568121637503667,0.4234291268911543
frozenset({'20725'}),frozenset({'22382'}),0.07603455202892728,0.0532342306147047,0.026516673362796304,0.3487450462351387,6.551142793051021,1.0,0.022469032485402628,1.4537559582650477,0.9170850257109634,0.2580645161290323,0.3121266369952303,0.4234291268911543
frozenset({'22383'}),frozenset({'20725'}),0.060767376456408194,0.07603455202892728,0.030333467255926075,0.4991735537190083,6.565088376256864,1.0,0.025713047009089895,1.8448815050247493,0.9025230860318086,0.2849056603773585,0.457959767455859,0.44905837527429937
frozenset({'20725'}),frozenset({'22383'}),0.07603455202892728,0.060767376456408194,0.030333467255926075,0.39894319682959045,6.565088376256864,1.0,0.025713047009089895,1.562635375873624,0.9174359579827638,0.2849056603773585,0.3600554451540373,0.44905837527429937
frozenset({'22384'}),frozenset({'20725'}),0.0562474889513861,0.07603455202892728,0.030835676978706306,0.5482142857142857,7.210067937346668,1.0,0.02655892435353563,2.0451409125051407,0.9126386860858388,0.30396039603960395,0.5110361374683583,0.4768812511794678
frozenset({'20725'}),frozenset({'22384'}),0.07603455202892728,0.0562474889513861,0.030835676978706306,0.4055482166446499,7.210067937346668,1.0,0.02655892435353563,1.5876014463640016,0.9321831823527059,0.30396039603960395,0.37011899158302836,0.4768812511794678
frozenset({'85099B'}),frozenset({'20725'}),0.08547609481719566,0.07603455202892728,0.022900763358778626,0.2679200940070505,3.5236624252763473,1.0,0.01640162678017104,1.2621101062975648,0.7831445032130023,0.16521739130434784,0.20767610130820688,0.2845544987868806
frozenset({'20725'}),frozenset({'85099B'}),0.07603455202892728,0.08547609481719566,0.022900763358778626,0.3011889035667107,3.5236624252763473,1.0,0.01640162678017104,1.3086854370952417,0.7751419395319477,0.16521739130434784,0.2358744342570205,0.2845544987868806
frozenset({'20726'}),frozenset({'20728'}),0.04831257533145842,0.05614704700683005,0.021695460024106068,0.44906444906444903,7.998006538256986,1.0,0.018982851585949655,1.713182152414018,0.9193867878432523,0.2621359223300971,0.41629090719225864,0.4177343712227433
frozenset({'20728'}),frozenset({'20726'}),0.05614704700683005,0.04831257533145842,0.021695460024106068,0.3864042933810376,7.998006538256986,1.0,0.018982851585949655,1.5510007883082064,0.9270181775901687,0.2621359223300971,0.35525500210043376,0.4177343712227433
frozenset({'20726'}),frozenset({'22382'}),0.04831257533145842,0.0532342306147047,0.021996785857774207,0.45530145530145527,8.552794884870357,1.0,0.019424903080989056,1.7381463170775842,0.927908820375658,0.27651515151515155,0.42467444186094727,0.4342545012356333
frozenset({'22382'}),frozenset({'20726'}),0.0532342306147047,0.04831257533145842,0.021996785857774207,0.41320754716981134,8.552794884870357,1.0,0.019424903080989056,1.6218467365733988,0.9327324499320349,0.27651515151515155,0.38341892766465874,0.4342545012356333
frozenset({'20726'}),frozenset({'22383'}),0.04831257533145842,0.060767376456408194,0.021394134190437928,0.44282744282744285,7.287256232710779,1.0,0.018458305737692613,1.6857122833002525,0.9065730177016362,0.24398625429553264,0.40677895634584765,0.3974467792649611
frozenset({'22383'}),frozenset({'20726'}),0.060767376456408194,0.04831257533145842,0.021394134190437928,0.35206611570247937,7.287256232710778,1.0,0.018458305737692613,1.468803295725683,0.9185947324054116,0.24398625429553264,0.31917364094289014,0.3974467792649611
frozenset({'20727'}),frozenset({'20728'}),0.05805544395339494,0.05614704700683005,0.02430695058256328,0.41868512110726647,7.456939294711888,1.0,0.021047308841909626,1.6236518060418221,0.9192650638297121,0.270391061452514,0.3841044020159567,0.42580052119764045
frozenset({'20728'}),frozenset({'20727'}),0.05614704700683005,0.05805544395339494,0.02430695058256328,0.43291592128801437,7.456939294711888,1.0,0.021047308841909626,1.6610315672872313,0.917406381674475,0.270391061452514,0.3979644820157252,0.42580052119764045
